id,name,nickname,status,bedrooms,bathrooms,accommodates,propertyTypeId,propertyTypeName,roomTypeId,roomTypeName,city,state,country,zipcode,latitude,longitude,basePrice,currency,weeklyDiscount,monthlyDiscount,cleaningFee,securityDeposit,minimumStay,maximumStay,checkInTime,checkOutTime,ownerId,createdAt,updatedAt,channelCount,photoCount,amenityCount
398029,2BR Traveler's Favorite • Modern and Clean,,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
398826,Cozy New Hampshire Retreat Near Attitash Mountain,,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
402080,Private Fenced Backyard • Pet Friendly • Grill,,,,,,2,,,,,,,,,,,,,,300,,,,,11,,,,0,0,0
402187,Private Fenced Backyard • Pet Friendly • Grill,,,,,,2,,,,,,,,,,,,,,250,,,,,12,,,,0,0,0
402483,Private Fenced Backyard • Pet Friendly • Grill,,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
404734,Dockside and Waterfront with Pool in Charlotte Harbor,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
405846,"Amazing Views! Private Sauna, Game Room, Private Deck",,,,,,2,,,,,,,,,,,,,,585,,,,,10,,,,0,0,0
406909,Palm Tree Paradise in Dania Beach,,,,,,2,,,,,,,,,,,,,,165,,,,,11,,,,0,0,0
407320,Family and Friends Getaway – Panoramic Mountain Vistas,,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
409057,Gulf Front Condo on Scenic 30A | Steps to the Beach!,,,,,,6,,,,,,,,,,,,,,384,,,,,10,,,,0,0,0
409531,Golden Coast Haven Steps to Dorado Beach,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
410197,Farrington Legacy Ranch,,,,,,2,,,,,,,,,,,,,,225,,,,,11,,,,0,0,0
410570,"Waterfront Luxe Pool, Hot Tub, Theater, Games and More!",,,,,,8,,,,,,,,,,,,,,550,,,,,11,,,,0,0,0
410664,Highfield Haven Decked-Out Cockeysville Escape,,,,,,1,,,,,,,,,,,,,,121,,,,,10,,,,0,0,0
410669,Decked-Out Sanctuary Near Loch Raven & Baltimore,,,,,,1,,,,,,,,,,,,,,121,,,,,10,,,,0,0,0
411114,Near Downtown • 10 Mins from Airport + Parking,,,,,,2,,,,,,,,,,,,,,150,,,,,10,,,,0,0,0
411115,Mountain Views • Hot Tub • Gameroom • Firepit,,,,,,2,,,,,,,,,,,,,,140,,,,,11,,,,0,0,0
411519,Private Fenced Backyard • Pet Friendly • Garage Parking,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
411617,Private Deck • Pet Friendly • Spacious Courtyard,,,,,,1,,,,,,,,,,,,,,110,,,,,10,,,,0,0,0
411884,Private Deck • Pet Friendly • Spacious Courtyard,,,,,,1,,,,,,,,,,,,,,120,,,,,10,,,,0,0,0
412231,Private Deck • Pet Friendly • Spacious Courtyard,,,,,,1,,,,,,,,,,,,,,120,,,,,10,,,,0,0,0
412941,"Pool, Tennis, Gym & Hot Tub | 55+ Resort-Style Mountain Stay",,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
412947,Sleeps 18 • 7BR • Gym • Game Room • Theater,,,,,,2,,,,,,,,,,,,,,500,,,,,10,,,,0,0,0
413503,Modern Coastal Suite | Walk to Beach + Dining,,,,,,30,,,,,,,,,,,,,,80,,,,,10,,,,0,0,0
413504,Cozy Keys Stay | King Bed + Luxe Bath,,,,,,1,,,,,,,,,,,,,,80,,,,,10,,,,0,0,0
413509,"Walk to Beach + Dining, 2BR, King Bed",,,,,,1,,,,,,,,,,,,,,80,,,,,10,,,,0,0,0
413586,King Bed • Private Backyard • Grill and Fireplace,,,,,,2,,,,,,,,,,,,,,206,,,,,11,,,,0,0,0
413979,Casa Maya Lodge – Volcano-View | Infinity Pool,,,,,,7,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
414407,"Spacious 4-Floor Villa with Jacuzzi, Event Terrace & Pet-Friendly Stay",,,,,,2,,,,,,,,,,,,,,550,,,,,10,,,,0,0,0
414745,"Eco Villa with Pool, Jacuzzis, Organic Garden, Pet-Friendly",,,,,,31,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
414765,Modern Condo with Private Porch | Mins to NYC,,,,,,6,,,,,,,,,,,,,,110,,,,,10,,,,0,0,0
414766,Rooftop Deck • NYC Skyline Views • Near Times Sq,,,,,,6,,,,,,,,,,,,,,220,,,,,10,,,,0,0,0
414771,"Eco Lodge Retreat | Pool, Jacuzzis & Pet-Friendly Stay",,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
415385,"Balcony • Fire Pit • Near Zion, Bryce + Grand Canyon",,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
416710,Modern Estate • Front Porch • Outdoor Seating,,,,,,2,,,,,,,,,,,,,,150,,,,,10,,,,0,0,0
416843,Historic Riverside Inn • Breakfast + Tavern,,,,,,50,,,,,,,,,,,,,,600,,,,,11,,,,0,0,0
417693,"Private Hot Tub, Game Room, Firepit and Grill - Resort Amenities",,,,,,2,,,,,,,,,,,,,,280,,,,,10,,,,0,0,0
418053,Farmington Hills Tiny Home • Workspace + Parking,,,,,,2,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
418361,Pet-Friendly • Outdoor Space + Parking,,,,,,2,,,,,,,,,,,,,,80,,,,,11,,,,0,0,0
418396,Detroit Retreat • Fire Pits + Gazebo & Charcoal Grill,,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
418423,Central Myrtle Beach Stay | Walk to Ocean,,,,,,50,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
419271,Spacious Yard • Free Parking • Dining for 8,,,,,,2,,,,,,,,,,,,,,20,,,,,10,,,,0,0,0
419730,Beachfront • Outdoor Lounge + Parking,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
419871,Fenced Yard • BBQ + Fireplace • Near Truist Park,,,,,,2,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
420204,Fenced Yard • Fire Pit • Grill,,,,,,2,,,,,,,,,,,,,,220,,,,,10,,,,0,0,0
420315,"Spacious Gaston Lodge | Outdoor Grill, Spacious Yard & Board Games",,,,,,2,,,,,,,,,,,,,,350,,,,,11,,,,0,0,0
420320,Sleeps 40! Wine Country Lodge | Indoor Fireplace & Free Parking,,,,,,5,,,,,,,,,,,,,,500,,,,,11,,,,0,0,0
420505,Gated Townhome • Pet-Friendly • Gym • Office,,,,,,10,,,,,,,,,,,,,,275,,,,,11,,,,0,0,0
420687,Outdoor Kitchen• Gameroom • Pool • King Suite,,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
420803,"Pet-Friendly Aggie Village – Fire Pit, Games & walk to Texas A&M",,,,,,2,,,,,,,,,,,,0.85,0.7,250,,,,,10,,,,0,0,0
420927,Sleeps 20! Hot Tub - Walk to the Masters - Game Room - Gym,,,,,,2,,,,,,,,,,,,,,300,,,,,11,,,,0,0,0
421241,"Events Space! 4 Suites, Private Yard, Huge Workspace",,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
421366,Sleeps 15 • Movie Room • Gameroom • Free Parking,,,,,,2,,,,,,,,,,,,,,350,,,,,11,,,,0,0,0
421368,Downtown Anderson Stay | Queen Bed + Event Space,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
421375,"Charming Getaway | Queen Bed, Yard & Free Parking",,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
421379,King Bed Retreat | Anderson Home w/ Yard & Events,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
421383,Spacious Anderson Retreat | King Bed & Private Yard,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
421590,Screened Pool • Pet Friendly • Grill • Near Beach,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
421595,Beachfront Cabin - Kayaks - Deck - Community Amenities!,,,,,,2,,,,,,,,,,,,,,220,,,,,10,,,,0,0,0
422326,Walk to Markets • Private Backyard+Free Parking • English Help,,,,,,6,,,,,,,,,,,,,,60,,,,,11,,,,0,0,0
422787,Executive Home • Private Yard• Free Parking • Pets,,,,,,2,,,,,,,,,,,,,,151.2,,,,,10,,,,0,0,0
422793,Outdoor Deck• Air Hockey/Pool Table • Fireplace • Grill,,,,,,2,,,,,,,,,,,,,,270,,,,,10,,,,0,0,0
422825,Mins from Beach! Private Pool & Garden • 4 Ensuites | La Veleta Villa Getaway,,,,,,8,,,,,,,,,,,,,,400,,,,,10,,,,0,0,0
423052,Beachfront Oasis with Stunning Views,,,,,,2,,,,,,,,,,,,,,500,,,,,11,,,,0,0,0
423326,Private Yard • Free Parking • WiFi • Workspace,,,,,,2,,,,,,,,,,,,,,350,,,,,11,,,,0,0,0
423533,Singing Trees Inn – Queen Bed Riverside Getaway,,,,,,50,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
423608,Spacious Runaway Bay Home Near Beach and Dining,,,,,,2,,,,,,,,,,,,,,35,,,,,11,,,,0,0,0
423659,King Bed Historic Riverside Getaway in Glen Rose,,,,,,50,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
423716,Waterfront House • Game Room • Fire Pit • Pavilion,,,,,,2,,,,,,,,,,,,,,350,,,,,10,,,,0,0,0
423859,Full Room Riverside Getaway in Historic Glen Rose,,,,,,50,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
423870,Mins to Disney• Free Parking• Spanish Villa• WiFi,,,,,,1,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
424455,Private Backyard• Free Parking• Grill• Deck,,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
424693,Mins to Beach• Pet Friendly• Private Yard• WiFi,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
424947,Private Fenced Yard• King Bed • Grill• Fireplace,,,,,,2,,,,,,,,,,,,,,210,,,,,10,,,,0,0,0
425072,Lakefront• Private Dock • Firepit• High Speed WiFi,,,,,,2,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
425102,Walk to Downtown Blair• Game Room + Fire Place• Pet Friendly,,,,,,2,,,,,,,,,,,,,,275,,,,,9,,,,0,0,0
425357,Mins from SoFi• Free Parking + Grill• Pet Friendly,,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
425413,Modern 4BR – 2532 Sq Ft w/ Office & Game Room,,,,,,2,,,,,,,,,,,,,,275,,,,,10,,,,0,0,0
426101,Amazing Volcano Views• Pool and Resort Amenities • Private Yard,,,,,,2,,,,,,,,,,,,0.95,0.9,35,,,,,11,,,,0,0,0
426579,Amazing Volcano Views• Pool and Resort Amenities • Private Yard,,,,,,2,,,,,,,,,,,,0.95,0.9,35,,,,,11,,,,0,0,0
426601,"Top-Floor Rosarito Penthouse | Ocean Views, Sauna, Jacuzzi & Pools",,,,,,6,,,,,,,,,,,,,,55,,,,,11,,,,0,0,0
426613,Eastside and Downtown Austin Near UT Access and Nightlife,,,,,,2,,,,,,,,,,,,,,10,,,,,10,,,,0,0,0
426879,Pet-Friendly 3BR/3BA • 15 Min to Airport,,,,,,2,,,,,,,,,,,,,,151,,,,,10,,,,0,0,0
427032,Amazing Volcano Views• Pool and Resort Amenities • Private Yard,,,,,,2,,,,,,,,,,,,0.9,0.8,35,,,,,11,,,,0,0,0
427093,Fireplace - Free Parking - Gym - Walk to Stadium,,,,,,2,,,,,,,,,,,,,,175,,,,,11,,,,0,0,0
427094,Amazing Volcano Views• Pool and Resort Amenities • Private Yard,,,,,,2,,,,,,,,,,,,0.9,0.8,35,,,,,11,,,,0,0,0
428205,Hot Tub with Views • Game Room • Fire Pit,,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
429196,Niagara Falls • Pet Friendly • Free Parking,,,,,,1,,,,,,,,,,,,,,200,,,,,11,,,,0,0,0
429204,Luxury Estate- Private Yard • 2 King Beds,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
429274,Private Ensuite Room- Free Parking • Free WiFi,,,,,,2,,,,,,,,,,,,,,100,,,,,11,,,,0,0,0
429543,"5 Mins from the Beach! Private Pool and Hot Tub, Mini-Golf & Entertainment",,,,,,8,,,,,,,,,,,,,,300,,,,,11,,,,0,0,0
429656,Coastal Villa Retreat with Private Jacuzzi & Garage Near Isla de la Plata,,,,,,2,,,,,,,,,,,,,,25,,,,,10,,,,0,0,0
429671,"6BR – 3221 Sq Ft w/ Game Room, Near Everything",,,,,,2,,,,,,,,,,,,,,275,,,,,11,,,,0,0,0
429745,"Retreat Villa with Pool, Jacuzzi, and Pet-Friendly Stay",,,,,,8,,,,,,,,,,,,,,25,,,,,10,,,,0,0,0
